Serial No.,Category Name,"Item List ",Classified,"E-commerce "
511,,Door,,
512,,Tiles,,
513,,Decor Accessories,,
514,,Organizer,,
515,,Furniture Accessories,,
516,Household Cleaner,Mop,,
517,,Hose Pipe,,
518,,Floor Cleaner,,
519,,Glass Cleaner,,
520,,Air Freshener,,
521,,Basket,,
522,Pest Control,Mosquito Killer,,
523,,Pest Control Service,,
524,Kitchenware,Crockeries,,
525,,Vegetable Cutter,,
526,,Fry Pan,,
527,,Korai,,
528,,Pressure Cooker,,
529,,Cup & Mug,,
530,,Water Bottle,,
531,,Kitchen Knife,,
532,Stationery & Craft,Paper NoteBook,,
533,,Wrapping Paper,,
534,,Stapler,,
535,,Scotch Tape,,
536,,Pen,,
537,,Measuring Tape,,
538,Vehicle,Car,,
539,,Bike,,
540,Car Accessories,Car Scratch Remover,,
541,,Engine Oil,,
542,,Car Scanner,,
543,Bike Accessories,Motorcycle Helmet,,
544,,Motorcycle Tyre,,
545,"Three Wheeler ",CNG,,
546,,Auto Rickshaw,,
547,"Bicycle ",,,
548,"Bicycle Accessories ",,,
549,Commercial Vehicle,Boat,,
550,,Truck,,
551,,Tractor,,
552,,Bus,,
553,Vehicle Rental,,,
554,Vehicle Equipment,,,
555,Apartment,,,
556,Land,,,
557,Commercial Space,,,
558,Sanitary,Commode,,
559,,Basin,,
560,,Water Tap,,
561,Construction Material,Cement,,
562,,Sand,,
563,,Stone,,
564,,Brick,,
565,,Rod,,
566,,Construction Equipment,,
567,Islamic Zone,Janamaz,,
568,,Tasbeeh,,
569,Online Book,Al-Quran,,
570,,Islamic Book,,
571,,Education Book,,
572,Services,Legal Service,,
573,,Party Center Rental,,
574,,House Shifting Service,,
575,Everything Else,,,
